#histogram type: continuous-time histogram
#queue_occupancy_over_time
#(lowerBound+upperBound)/2 ; probability
0,5;0,3555184607635573
1,5;0,1276600208579204
2,5;0,1020172869855281
3,5;0,08188623777261218
4,5;0,06749582673589867
5,5;0,05360299334197773
6,5;0,04360597978784954
7,5;0,03454957068140567
8,5;0,028169732687094075
9,5;0,020495204806345826
10,5;0,01769625181442787
11,5;0,013296994241831554
12,5;0,010934897960032667
13,5;0,008249206707815033
14,5;0,005533804999244788
15,5;0,004917705535957032
16,5;0,004127243394458539
17,5;0,003340501310100123
18,5;0,0025158386432815607
19,5;0,0020022507545715902
20,5;0,0020922821374536314
21,5;0,0013470106900841997
22,5;0,0012949398902767147
23,5;0,0010543161942967443
24,5;8,149325173634667E-4
25,5;8,814935397407704E-4
26,5;7,830120270647357E-4
27,5;9,066739265115113E-4
28,5;5,628686456623974E-4
29,5;5,540285098779117E-4
30,5;4,478268786208556E-4
31,5;2,5791396155844953E-4
32,5;2,862543968675359E-4
33,5;2,702041503357492E-4
34,5;2,408036987448127E-4
35,5;2,491838274635898E-4
36,5;9,003138288204107E-5
37,5;6,67610254493509E-5
38,5;7,12610945704126E-5
39,5;1,0841166520317752E-4
40,5;1,600024576377493E-7
41,5;3,620055604054078E-6
42,5;0,0
43,5;0,0
44,5;0,0
45,5;0,0
46,5;0,0
47,5;0,0
48,5;0,0
49,5;0,0
50,5;0,0
51,5;0,0
52,5;0,0
53,5;0,0
54,5;0,0
55,5;0,0
56,5;0,0
57,5;0,0
58,5;0,0
59,5;0,0
60,5;0,0
61,5;0,0
62,5;0,0
63,5;0,0
64,5;0,0
65,5;0,0
66,5;0,0
67,5;0,0
68,5;0,0
69,5;0,0
70,5;0,0
71,5;0,0
72,5;0,0
73,5;0,0
74,5;0,0
75,5;0,0
76,5;0,0
77,5;0,0
78,5;0,0
79,5;0,0
