#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,09449738147977953
1,0;2,0;0,040923428583863046
2,0;3,0;0,03948207644469419
3,0;4,0;0,03648371038979159
4,0;5,0;0,036355998428135854
5,0;6,0;0,03301968718239512
6,0;7,0;0,031716907171694154
7,0;8,0;0,03381912946182854
8,0;9,0;0,030564019463338955
9,0;10,0;0,029506843225111937
10,0;11,0;0,028250593929122752
11,0;12,0;0,027459071771342408
12,0;13,0;0,025965238826068368
13,0;14,0;0,024856341793409946
14,0;15,0;0,024902452501670426
15,0;16,0;0,022882771479369922
16,0;17,0;0,021041423196260296
17,0;18,0;0,019662312013112523
18,0;19,0;0,019184044666926085
19,0;20,0;0,018134298542825618
20,0;21,0;0,01739687721603404
21,0;22,0;0,01526874452791595
22,0;23,0;0,015570839168089622
23,0;24,0;0,014164127560999338
24,0;25,0;0,013433266334970904
25,0;26,0;0,013457356704998988
26,0;27,0;0,013352655096782287
27,0;28,0;0,014162737539648609
28,0;29,0;0,012915038374989439
29,0;30,0;0,01279555653974845
30,0;31,0;0,011511436815669488
31,0;32,0;0,01149563657297776
32,0;33,0;0,010074514744546476
33,0;34,0;0,008878466373243493
34,0;35,0;0,009443445051315988
35,0;36,0;0,007311512304829002
36,0;37,0;0,00807300400134146
37,0;38,0;0,007116609311119019
38,0;39,0;0,0067333234238477905
39,0;40,0;0,006954076814619872
40,0;41,0;0,006060213084872984
41,0;42,0;0,006066193176727195
42,0;43,0;0,005768258600452103
43,0;44,0;0,005396012882757879
44,0;45,0;0,005195059796118468
45,0;46,0;0,004967186295981506
46,0;47,0;0,005025907197934561
47,0;48,0;0,004902735306014301
48,0;49,0;0,004522359463441358
49,0;50,0;0,004403447636955704
50,0;51,0;0,004128893419802928
51,0;52,0;0,0043141862659010445
52,0;53,0;0,004507919241639551
53,0;54,0;0,0036567161671603276
54,0;55,0;0,003261260092955028
55,0;56,0;0,0033780618870305847
56,0;57,0;0,0033438613617105158
57,0;58,0;0,002787012808516739
58,0;59,0;0,002690031318881058
59,0;60,0;0,0024345073940335725
60,0;61,0;0,0026423905871194183
61,0;62,0;0,00261807021355848
62,0;63,0;0,0022604047198164965
63,0;64,0;0,0021436129258945416
64,0;65,0;0,0018658586595890112
65,0;66,0;0,0021506830344914098
66,0;67,0;0,0022027538342988947
67,0;68,0;0,0020842720144181415
68,0;69,0;0,0019941506301536793
69,0;70,0;0,001623644939186266
70,0;71,0;0,0016849158803079215
71,0;72,0;0,0015776142321546058
72,0;73,0;0,0014223618474779774
73,0;74,0;9,490645776319125E-4
74,0;75,0;0,0011516876899229172
75,0;76,0;8,957537587777349E-4
76,0;77,0;7,818920098612715E-4
77,0;78,0;8,254726792603534E-4
78,0;79,0;0,0011453575926926238
79,0;80,0;0,0123532597460697
