#histogram type: discrete-time histogram
#waiting_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,36547091955061595
1,5;1,5059787355802535E-4
2,5;2,4095659769284058E-4
3,5;3,011957471160507E-4
4,5;4,21674045962471E-4
5,5;3,915544712508659E-4
6,5;1,8071744826963042E-4
7,5;1,8071744826963042E-4
8,5;3,6143489653926085E-4
9,5;9,035872413481521E-5
10,5;1,5059787355802535E-4
11,5;3,011957471160507E-4
12,5;2,108370229812355E-4
13,5;1,8071744826963042E-4
14,5;1,2047829884642029E-4
15,5;2,4095659769284058E-4
16,5;2,108370229812355E-4
17,5;1,5059787355802535E-4
18,5;2,108370229812355E-4
19,5;2,4095659769284058E-4
20,5;1,5059787355802535E-4
21,5;9,035872413481521E-5
22,5;1,2047829884642029E-4
23,5;1,5059787355802535E-4
24,5;3,6143489653926085E-4
25,5;3,011957471160507E-4
26,5;2,4095659769284058E-4
27,5;1,2047829884642029E-4
28,5;4,21674045962471E-4
29,5;3,313153218276558E-4
30,5;1,5059787355802535E-4
31,5;2,710761724044456E-4
32,5;2,710761724044456E-4
33,5;2,108370229812355E-4
34,5;2,108370229812355E-4
35,5;2,710761724044456E-4
36,5;1,2047829884642029E-4
37,5;2,108370229812355E-4
38,5;2,108370229812355E-4
39,5;1,2047829884642029E-4
40,5;1,8071744826963042E-4
41,5;9,035872413481521E-5
42,5;2,108370229812355E-4
43,5;1,2047829884642029E-4
44,5;1,5059787355802535E-4
45,5;4,8191319538568115E-4
46,5;3,313153218276558E-4
47,5;1,8071744826963042E-4
48,5;1,2047829884642029E-4
49,5;1,8071744826963042E-4
50,5;2,4095659769284058E-4
51,5;1,2047829884642029E-4
52,5;2,4095659769284058E-4
53,5;3,313153218276558E-4
54,5;4,517936206740761E-4
55,5;9,035872413481521E-5
56,5;2,108370229812355E-4
57,5;3,313153218276558E-4
58,5;3,011957471160507E-4
59,5;1,2047829884642029E-4
60,5;3,011957471160507E-4
61,5;3,011957471160507E-4
62,5;1,2047829884642029E-4
63,5;1,8071744826963042E-4
64,5;2,4095659769284058E-4
65,5;3,011957471160507E-4
66,5;6,0239149423210144E-5
67,5;2,710761724044456E-4
68,5;1,8071744826963042E-4
69,5;2,108370229812355E-4
70,5;1,8071744826963042E-4
71,5;1,8071744826963042E-4
72,5;3,313153218276558E-4
73,5;4,517936206740761E-4
74,5;2,710761724044456E-4
75,5;2,4095659769284058E-4
76,5;3,0119574711605072E-5
77,5;3,313153218276558E-4
78,5;2,108370229812355E-4
79,5;0,6169693683925183
