#histogram type: discrete-time histogram
#service_time_per_customer
#lowerBound ; upperBound ; probability density
0,0;1,0;0,001051019488904237
1,0;2,0;0,0012912525149394913
2,0;3,0;9,609321041410168E-4
3,0;4,0;0,0010810486171586439
4,0;5,0;9,3090297588661E-4
5,0;6,0;0,0011711360019218643
6,0;7,0;9,008738476322032E-4
7,0;8,0;8,107864628689829E-4
8,0;9,0;8,708447193777964E-4
9,0;10,0;8,408155911233897E-4
10,0;11,0;6,306116933425422E-4
11,0;12,0;0,0010810486171586439
12,0;13,0;0,0011110777454130508
13,0;14,0;9,609321041410168E-4
14,0;15,0;7,807573346145762E-4
15,0;16,0;0,0010209903606498304
16,0;17,0;8,408155911233897E-4
17,0;18,0;9,609321041410168E-4
18,0;19,0;0,001201165130176271
19,0;20,0;6,906699498513559E-4
20,0;21,0;0,0011411068736674574
21,0;22,0;6,906699498513559E-4
22,0;23,0;8,708447193777964E-4
23,0;24,0;0,0011110777454130508
24,0;25,0;7,507282063601694E-4
25,0;26,0;0,001201165130176271
26,0;27,0;9,3090297588661E-4
27,0;28,0;0,0010810486171586439
28,0;29,0;7,206990781057626E-4
29,0;30,0;9,609321041410168E-4
30,0;31,0;7,807573346145762E-4
31,0;32,0;7,807573346145762E-4
32,0;33,0;9,909612323954235E-4
33,0;34,0;0,0011411068736674574
34,0;35,0;0,0012612233866850845
35,0;36,0;0,0012912525149394913
36,0;37,0;8,708447193777964E-4
37,0;38,0;9,609321041410168E-4
38,0;39,0;0,0011711360019218643
39,0;40,0;8,408155911233897E-4
40,0;41,0;8,107864628689829E-4
41,0;42,0;8,708447193777964E-4
42,0;43,0;9,3090297588661E-4
43,0;44,0;9,3090297588661E-4
44,0;45,0;9,909612323954235E-4
45,0;46,0;8,408155911233897E-4
46,0;47,0;0,0010810486171586439
47,0;48,0;0,001051019488904237
48,0;49,0;8,708447193777964E-4
49,0;50,0;0,001201165130176271
50,0;51,0;0,0011110777454130508
51,0;52,0;9,609321041410168E-4
52,0;53,0;0,0011711360019218643
53,0;54,0;7,507282063601694E-4
54,0;55,0;9,008738476322032E-4
55,0;56,0;8,408155911233897E-4
56,0;57,0;7,206990781057626E-4
57,0;58,0;0,0010810486171586439
58,0;59,0;0,0010810486171586439
59,0;60,0;9,609321041410168E-4
60,0;61,0;8,408155911233897E-4
61,0;62,0;6,906699498513559E-4
62,0;63,0;8,708447193777964E-4
63,0;64,0;9,008738476322032E-4
64,0;65,0;8,107864628689829E-4
65,0;66,0;0,001051019488904237
66,0;67,0;8,708447193777964E-4
67,0;68,0;0,0010810486171586439
68,0;69,0;9,008738476322032E-4
69,0;70,0;9,008738476322032E-4
70,0;71,0;7,206990781057626E-4
71,0;72,0;0,0011411068736674574
72,0;73,0;7,807573346145762E-4
73,0;74,0;0,0010810486171586439
74,0;75,0;8,107864628689829E-4
75,0;76,0;0,0010810486171586439
76,0;77,0;0,001321281643193898
77,0;78,0;9,008738476322032E-4
78,0;79,0;8,708447193777964E-4
79,0;80,0;0,924476742440167
