#histogram type: discrete-time histogram
#waiting_time_per_customer
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,7492500576878701
1,0;2,0;7,691716021844474E-5
2,0;3,0;1,5383432043688947E-4
3,0;4,0;1,5383432043688947E-4
4,0;5,0;2,307514806553342E-4
5,0;6,0;2,307514806553342E-4
6,0;7,0;2,307514806553342E-4
7,0;8,0;7,691716021844474E-5
8,0;9,0;1,5383432043688947E-4
9,0;10,0;2,307514806553342E-4
10,0;11,0;7,691716021844474E-5
11,0;12,0;6,153372817475579E-4
12,0;13,0;2,307514806553342E-4
13,0;14,0;7,691716021844474E-5
14,0;15,0;7,691716021844474E-5
15,0;16,0;1,5383432043688947E-4
16,0;17,0;7,691716021844474E-5
17,0;18,0;0,0
18,0;19,0;2,307514806553342E-4
19,0;20,0;1,5383432043688947E-4
20,0;21,0;2,307514806553342E-4
21,0;22,0;1,5383432043688947E-4
22,0;23,0;1,5383432043688947E-4
23,0;24,0;1,5383432043688947E-4
24,0;25,0;0,0
25,0;26,0;0,0
26,0;27,0;1,5383432043688947E-4
27,0;28,0;2,307514806553342E-4
28,0;29,0;3,0766864087377894E-4
29,0;30,0;7,691716021844474E-5
30,0;31,0;1,5383432043688947E-4
31,0;32,0;1,5383432043688947E-4
32,0;33,0;1,5383432043688947E-4
33,0;34,0;5,384201215291131E-4
34,0;35,0;1,5383432043688947E-4
35,0;36,0;4,615029613106684E-4
36,0;37,0;1,5383432043688947E-4
37,0;38,0;1,5383432043688947E-4
38,0;39,0;2,307514806553342E-4
39,0;40,0;1,5383432043688947E-4
40,0;41,0;2,307514806553342E-4
41,0;42,0;3,0766864087377894E-4
42,0;43,0;3,8458580109222365E-4
43,0;44,0;1,5383432043688947E-4
44,0;45,0;1,5383432043688947E-4
45,0;46,0;0,0
46,0;47,0;4,615029613106684E-4
47,0;48,0;1,5383432043688947E-4
48,0;49,0;1,5383432043688947E-4
49,0;50,0;3,0766864087377894E-4
50,0;51,0;3,0766864087377894E-4
51,0;52,0;2,307514806553342E-4
52,0;53,0;2,307514806553342E-4
53,0;54,0;2,307514806553342E-4
54,0;55,0;3,0766864087377894E-4
55,0;56,0;7,691716021844474E-5
56,0;57,0;2,307514806553342E-4
57,0;58,0;3,8458580109222365E-4
58,0;59,0;7,691716021844474E-5
59,0;60,0;7,691716021844474E-5
60,0;61,0;0,0
61,0;62,0;2,307514806553342E-4
62,0;63,0;1,5383432043688947E-4
63,0;64,0;7,691716021844474E-5
64,0;65,0;7,691716021844474E-5
65,0;66,0;1,5383432043688947E-4
66,0;67,0;7,691716021844474E-5
67,0;68,0;3,0766864087377894E-4
68,0;69,0;1,5383432043688947E-4
69,0;70,0;7,691716021844474E-5
70,0;71,0;3,0766864087377894E-4
71,0;72,0;3,0766864087377894E-4
72,0;73,0;3,0766864087377894E-4
73,0;74,0;1,5383432043688947E-4
74,0;75,0;1,5383432043688947E-4
75,0;76,0;2,307514806553342E-4
76,0;77,0;3,0766864087377894E-4
77,0;78,0;3,8458580109222365E-4
78,0;79,0;1,5383432043688947E-4
79,0;80,0;0,23567417890931466
