#histogram type: discrete-time histogram
#service_time_per_customer
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,0010404323574463167
1,0;2,0;0,0012716395479899425
2,0;3,0;9,8263055981041E-4
3,0;4,0;0,0010982341550822231
4,0;5,0;9,248287621745037E-4
5,0;6,0;0,0011560359527181296
6,0;7,0;8,670269645385971E-4
7,0;8,0;8,670269645385971E-4
8,0;9,0;8,381260657206439E-4
9,0;10,0;8,092251669026907E-4
10,0;11,0;6,06918875177018E-4
11,0;12,0;0,0011271350539001762
12,0;13,0;0,0010693332562642698
13,0;14,0;9,537296609924569E-4
14,0;15,0;8,381260657206439E-4
15,0;16,0;9,8263055981041E-4
16,0;17,0;8,670269645385971E-4
17,0;18,0;9,248287621745037E-4
18,0;19,0;0,0011849368515360827
19,0;20,0;7,22522470448831E-4
20,0;21,0;0,0010982341550822231
21,0;22,0;7,22522470448831E-4
22,0;23,0;8,381260657206439E-4
23,0;24,0;0,0010982341550822231
24,0;25,0;8,092251669026907E-4
25,0;26,0;0,0011560359527181296
26,0;27,0;9,8263055981041E-4
27,0;28,0;0,0011560359527181296
28,0;29,0;7,514233692667842E-4
29,0;30,0;9,8263055981041E-4
30,0;31,0;8,092251669026907E-4
31,0;32,0;7,514233692667842E-4
32,0;33,0;9,537296609924569E-4
33,0;34,0;0,0011849368515360827
34,0;35,0;0,0012427386491719893
35,0;36,0;0,001329441345625849
36,0;37,0;8,670269645385971E-4
37,0;38,0;9,8263055981041E-4
38,0;39,0;0,0011560359527181296
39,0;40,0;8,092251669026907E-4
40,0;41,0;8,381260657206439E-4
41,0;42,0;8,959278633565503E-4
42,0;43,0;9,248287621745037E-4
43,0;44,0;8,959278633565503E-4
44,0;45,0;0,0010115314586283633
45,0;46,0;8,959278633565503E-4
46,0;47,0;0,0011271350539001762
47,0;48,0;0,0010404323574463167
48,0;49,0;8,670269645385971E-4
49,0;50,0;0,0011560359527181296
50,0;51,0;0,0010693332562642698
51,0;52,0;9,537296609924569E-4
52,0;53,0;0,0011560359527181296
53,0;54,0;7,22522470448831E-4
54,0;55,0;8,670269645385971E-4
55,0;56,0;8,959278633565503E-4
56,0;57,0;7,514233692667842E-4
57,0;58,0;0,0010982341550822231
58,0;59,0;0,0011271350539001762
59,0;60,0;9,537296609924569E-4
60,0;61,0;8,381260657206439E-4
61,0;62,0;7,22522470448831E-4
62,0;63,0;8,959278633565503E-4
63,0;64,0;8,959278633565503E-4
64,0;65,0;8,381260657206439E-4
65,0;66,0;0,0010115314586283633
66,0;67,0;8,959278633565503E-4
67,0;68,0;0,0010404323574463167
68,0;69,0;8,670269645385971E-4
69,0;70,0;8,959278633565503E-4
70,0;71,0;7,514233692667842E-4
71,0;72,0;0,0011271350539001762
72,0;73,0;7,803242680847375E-4
73,0;74,0;0,0010404323574463167
74,0;75,0;8,381260657206439E-4
75,0;76,0;0,0010693332562642698
76,0;77,0;0,0012716395479899425
77,0;78,0;8,670269645385971E-4
78,0;79,0;8,381260657206439E-4
79,0;80,0;0,9244530504898703
