#histogram type: discrete-time histogram
#service_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,0010464046716905343
1,5;0,0010885984084522493
2,5;8,607522299389879E-4
3,5;0,0010548434190428772
4,5;0,0010885984084522493
5,5;9,873334402241331E-4
6,5;8,185584931772727E-4
7,5;0,0010210884296335053
8,5;9,28262208757732E-4
9,5;9,19823461405389E-4
10,5;9,95772187576476E-4
11,5;9,704559455194471E-4
12,5;0,0011139146505092783
13,5;9,95772187576476E-4
14,5;7,932422511202437E-4
15,5;0,0010548434190428772
16,5;0,0010885984084522493
17,5;9,45139703462418E-4
18,5;0,0010295271769858482
19,5;8,354359878819588E-4
20,5;9,62017198167104E-4
21,5;0,0010970371558045925
22,5;0,0010548434190428772
23,5;9,45139703462418E-4
24,5;9,95772187576476E-4
25,5;0,0011139146505092783
26,5;0,0011054759031569354
27,5;9,367009561100751E-4
28,5;8,607522299389879E-4
29,5;9,62017198167104E-4
30,5;8,945072193483599E-4
31,5;9,11384714053046E-4
32,5;0,0010042109349288192
33,5;0,0010126496822811621
34,5;9,367009561100751E-4
35,5;0,0010379659243381913
36,5;8,77629724643674E-4
37,5;0,0010548434190428772
38,5;0,0010548434190428772
39,5;9,45139703462418E-4
40,5;9,704559455194471E-4
41,5;0,0010210884296335053
42,5;8,607522299389879E-4
43,5;0,0010885984084522493
44,5;9,53578450814761E-4
45,5;9,53578450814761E-4
46,5;9,873334402241331E-4
47,5;9,7889469287179E-4
48,5;8,523134825866448E-4
49,5;0,0010126496822811621
50,5;9,704559455194471E-4
51,5;9,95772187576476E-4
52,5;9,367009561100751E-4
53,5;8,860684719960169E-4
54,5;9,704559455194471E-4
55,5;0,0010464046716905343
56,5;9,7889469287179E-4
57,5;9,19823461405389E-4
58,5;0,0010126496822811621
59,5;8,269972405296158E-4
60,5;9,029459667007029E-4
61,5;7,004160302444705E-4
62,5;0,0010042109349288192
63,5;9,704559455194471E-4
64,5;9,95772187576476E-4
65,5;0,0011392308925663075
66,5;9,45139703462418E-4
67,5;9,11384714053046E-4
68,5;9,62017198167104E-4
69,5;9,704559455194471E-4
70,5;8,101197458249298E-4
71,5;0,0010379659243381913
72,5;0,0010295271769858482
73,5;0,0012236183660897376
74,5;9,873334402241331E-4
75,5;9,029459667007029E-4
76,5;0,0010126496822811621
77,5;9,7889469287179E-4
78,5;7,932422511202437E-4
79,5;0,923097695378098
