#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; probability density
0,0;1,0;0,08425204632689132
1,0;2,0;0,03881976926801033
2,0;3,0;0,03745838496409717
3,0;4,0;0,035825603289607294
4,0;5,0;0,03438190361912671
5,0;6,0;0,03265994968201948
6,0;7,0;0,030840859650055053
7,0;8,0;0,03041777347551997
8,0;9,0;0,028815966575116404
9,0;10,0;0,0274459186088206
10,0;11,0;0,02678752695306991
11,0;12,0;0,025536554625676458
12,0;13,0;0,02347051187324064
13,0;14,0;0,021801941415920147
14,0;15,0;0,022079295084260018
15,0;16,0;0,02054647593620895
16,0;17,0;0,019605208568524785
17,0;18,0;0,019349954470892213
18,0;19,0;0,018555907269508228
19,0;20,0;0,016895774811740618
20,0;21,0;0,016804665629751324
21,0;22,0;0,01539519506999843
22,0;23,0;0,015458799697635535
23,0;24,0;0,014927127645262417
24,0;25,0;0,014256843804064962
25,0;26,0;0,01357053983029146
26,0;27,0;0,012487304801857366
27,0;28,0;0,012001703061282896
28,0;29,0;0,012066931539433737
29,0;30,0;0,01142944744873937
30,0;31,0;0,011105611926935285
31,0;32,0;0,010468148546184922
32,0;33,0;0,010702781513126125
33,0;34,0;0,009689651968353995
34,0;35,0;0,009312740397576274
35,0;36,0;0,009215984710440429
36,0;37,0;0,008841949440777591
37,0;38,0;0,008286497341793575
38,0;39,0;0,008039766276062999
39,0;40,0;0,007172176473644151
40,0;41,0;0,0071082771401341
41,0;42,0;0,006962117765044312
42,0;43,0;0,006578511852943791
43,0;44,0;0,006365514464004854
44,0;45,0;0,0063355773811763424
45,0;46,0;0,006352365370071357
46,0;47,0;0,006228801511769611
47,0;48,0;0,005619503976996809
48,0;49,0;0,004855277301730462
49,0;50,0;0,005186558549415241
50,0;51,0;0,00463629089863126
51,0;52,0;0,0043577304912023745
52,0;53,0;0,004222231618796821
53,0;54,0;0,003891952906976395
54,0;55,0;0,003990443664640649
55,0;56,0;0,003711432687151254
56,0;57,0;0,0037347305591781065
57,0;58,0;0,003632958670055661
58,0;59,0;0,003188971240977617
59,0;60,0;0,002936288541711819
60,0;61,0;0,0029793400202994193
61,0;62,0;0,0030587192553754076
62,0;63,0;0,002644451977992106
63,0;64,0;0,0027840890968310484
64,0;65,0;0,0025907059635917325
65,0;66,0;0,002374485967231047
66,0;67,0;0,0024124296352481134
67,0;68,0;0,0023189856256616206
68,0;69,0;0,002106258674359332
69,0;70,0;0,002095978410166038
70,0;71,0;0,00170993425435126
71,0;72,0;0,0017444978490079172
72,0;73,0;0,001592588862910293
73,0;74,0;0,0018224711637572176
74,0;75,0;0,0017042982593045968
75,0;76,0;0,0015992818147622595
76,0;77,0;0,001504687915632702
77,0;78,0;0,0016395376676429656
78,0;79,0;0,001262195212459344
79,0;80,0;0,0333783321892876
